ozon_category,field_id,field_name_ru,data_type,max_length,is_required,is_collection,allowed_values_count,notes
Ароматы для дома,10096,Цвет товара,String,,False,True,0,
Ароматы для дома,10097,Название цвета,String,,False,False,0,
Ароматы для дома,10098,Образец цвета,ImageURL,,False,False,0,
Ароматы для дома,10400,Гарантия,String,,False,False,0,
Ароматы для дома,10711,Спирт в составе,String,,False,False,0,
Ароматы для дома,11254,Rich-контент JSON,multiline,,False,False,0,
Ароматы для дома,11650,Количество заводских упаковок,Integer,,False,False,0,
Ароматы для дома,12776,Название аромата,String,,False,False,0,
Ароматы для дома,21837,Озон.Видео: название,String,,False,False,0,
Ароматы для дома,21841,Озон.Видео: ссылка,String,,False,False,0,
Ароматы для дома,21845,Озон.Видеообложка: ссылка,String,,False,False,0,
Ароматы для дома,22232,ТН ВЭД коды ЕАЭС,String,,True,False,0,
Ароматы для дома,22270,Вид выпуска товара,String,,False,False,0,
Ароматы для дома,22273,Озон.Видео: товары на видео,String,,False,False,0,
Ароматы для дома,22390,Объединить в похожие товары,String,,False,False,0,
Ароматы для дома,23171,#Хештеги,String,,False,False,0,
Ароматы для дома,23249,Количество товара в УЕИ,Decimal,,False,False,0,
Ароматы для дома,23342,Назначение ароматизатора для дома,String,,False,False,0,
Ароматы для дома,23518,Минимальное количество оптом,Integer,,False,False,0,
Ароматы для дома,4191,Аннотация,multiline,,False,False,0,
Ароматы для дома,4383,"Вес товара, г",Decimal,,False,False,0,
Ароматы для дома,4384,Комплектация,multiline,,False,False,0,
Ароматы для дома,4385,Гарантийный срок,String,,False,False,0,
Ароматы для дома,4389,Страна-изготовитель,String,,False,True,0,
Ароматы для дома,6392,"Объем, мл",Decimal,,False,False,0,
Ароматы для дома,6735,Вид ароматизатора,String,,False,False,0,
Ароматы для дома,6736,Размещение ароматизатора/освежителя,String,,False,False,0,
Ароматы для дома,6737,Ароматизация,String,,False,False,0,
Ароматы для дома,8205,Срок годности в днях,Integer,,False,False,0,
Ароматы для дома,8229,Тип,String,,True,False,0,
Ароматы для дома,85,Бренд,String,,True,False,0,
Ароматы для дома,8513,"Количество в упаковке, шт",Integer,,False,False,0,
Ароматы для дома,8789,Название файла PDF,String,,False,False,0,
Ароматы для дома,8790,Документ PDF,URL,,False,False,0,
Ароматы для дома,9048,Название модели (для объединения в одну карточку),String,,True,False,0,
Ароматы для дома,9944,Аромат,String,,False,True,0,
Ароматы для дома,TITLE_MANUAL,Название товара,String,200,True,False,0,≤27 симв/слово; без CAPS; без HTML; см. Техздание SEO OZON
Ароматы для дома,4191,Аннотация,multiline,,False,False,0,"allowed_html=br,ul,li"
Косметика для ухода,10096,Цвет товара,String,,False,True,0,
Косметика для ухода,10097,Название цвета,String,,False,False,0,
Косметика для ухода,11254,Rich-контент JSON,multiline,,False,False,0,
Косметика для ухода,11650,Количество заводских упаковок,Integer,,False,False,0,
Косметика для ухода,12393,Бьюти-ингредиент,String,,False,True,0,
Косметика для ухода,20975,Аромат,String,,False,False,0,
Косметика для ухода,21837,Озон.Видео: название,String,,False,False,0,
Косметика для ухода,21841,Озон.Видео: ссылка,String,,False,False,0,
Косметика для ухода,21845,Озон.Видеообложка: ссылка,String,,False,False,0,
Косметика для ухода,21899,Форма выпуска,String,,False,False,0,
Косметика для ухода,22232,ТН ВЭД коды ЕАЭС,String,,True,False,0,
Косметика для ухода,22273,Озон.Видео: товары на видео,String,,False,False,0,
Косметика для ухода,22390,Объединить в похожие товары,String,,False,False,0,
Косметика для ухода,23171,#Хештеги,String,,False,False,0,
Косметика для ухода,23249,Количество товара в УЕИ,Decimal,,False,False,0,
Косметика для ухода,23487,Производитель,String,,False,False,0,
Косметика для ухода,23518,Минимальное количество оптом,Integer,,False,False,0,
Косметика для ухода,4191,Аннотация,multiline,,False,False,0,
